nama_barang,merk,stok_barang,harga_lama,harga_baru,discount_percent,description,rating_penjualan,total_terjual,total_pemasukan,tanggal_pembelian
"Nasco 32C1NA    32""   Digital    HD LED TV   Black",Nasco,78,Rp159.990,Rp11.999,25%,,4.2 out of 5,16,Rp2.559.840,18 November 2019
"Royal 43"" FHD4300SAS1 JM Smart LED TV   Black",Royal,72,Rp365.000,Rp23.495,36%,"

",0 out of 5,0,Rp0,5 Agustus 2019
FOL FL 2109 2.1CH Speaker System 20W   Black,FOL,31,Rp32.000,Rp2.595,19%,"

",0 out of 5,0,Rp0,2 Januari 2019
"UKA 55"" UHD Smart TV   Black",UKA,66,Rp560.000,Rp39.899,29%,After Sales  Information,4.3 out of 5,66,Rp36.960.000,25 Februari 2018
"UKA 43"" FHD Smart LED TV   Black",UKA,79,Rp340.000,Rp24.599,28%,"UKA 43"" FHD Smart TV features sharply and vividly conveys the colour of the image making it true to life as you view it. It carries a powerful multi surround sound effect the increases the excitement and takes your normal sports watching a pleasurable experience. TV comes with Smart features like a dedicated web browser and popular apps like YouTube and a range of movie on demands services. Playback your stored content directly on the big screen for all to enjoy via a USB device or use it to record TV programmes and even pause live TV. Place your order for this amazing product from Jumia Kenya and have it delivered to your doorstep at an amazing price",4 out of 5,46,Rp15.640.000,8 Januari 2019
"UKA 40"" FHD Smart LED TV   Black.",UKA,29,Rp310.000,Rp21.999,29%,"UKA 40"" FHD Smart LED TV​. Stunning picture quality meets sleekly modern design which brings you FHD entertainment at an incredible value. This  TV delivers amazing picture quality and clarity.  HDMI and USB ports are perfect for connecting all your high definition entertainment devices to the TV. Place your order for this amazing product from Jumia Kenya and have it delivered to your doorstep at an amazing price.",3.9 out of 5,129,Rp39.990.000,23 Mei 2019
Power King 4 Way Extension Cable   White,Power King,81,Rp6.000.000,Rp380,37%,Make your order for a 4 way extension cable Power King today.,4.4 out of 5,63,Rp378.000.000,15 Juni 2019
Dream Sound Series D 7030   3.1CH Hi Fi System   60W   Black,Dream Sound Series,30,Rp72.400,Rp4.895,32%,,4.4 out of 5,14,Rp1.013.600,3 September 2019
"TCL 32D3001  32""  HD Digital LED TV   Black",TCL,39,,Rp13.999,,,4.6 out of 5,18,Rp0,17 Oktober 2018
Generic Wireless Portable Speaker AUX   Black,Generic,81,Rp16.800,Rp1.249,26%, ,4.4 out of 5,109,Rp1.831.200,20 Oktober 2018
UKA 40'' Full HD Digital TV   Black,UKA,16,Rp260.000,Rp18.399,29%,After Sales  Information,4.3 out of 5,90,Rp23.400.000,24 September 2018
Amtec AM 005 2.1CH Hi Fi System   40W   Black & White,Amtec,17,Rp42.990,Rp3.915,9%,,4.5 out of 5,2,Rp85.980,13 April 2019
Clubox IC 403 Speaker System 60W   Black & Gold,Clubox,85,Rp75.000,Rp4.735,37%,"

",0 out of 5,0,Rp0,11 Oktober 2018
Amtec AM 001 2.1  Speaker System   Black,Amtec,43,Rp34.990,Rp2.565,27%,Listen to your music collection in style with this AMTEC AM 001 2.1 SURROUND SOUND SPEAKER SYSTEM. Multimedia Speaker System. This sound system is designed for the extreme entertainment lovers to enjoy their amazing music and movies with sound clarity never heard before you will love your movie soundtrack playing on this Multimedia Speaker System. Place your order for this,4.1 out of 5,80,Rp2.799.200,8 November 2019
UKA 43''   Full HD   Digital TV   Black,UKA,29,Rp320.000,Rp22.499,30%,UKA TV features sharply and vividly conveys the colour of the image making it true to life as you view it. It carries a powerful multi surround sound effect the increases the excitement and takes your normal sports watching a pleasurable experience. Place your order for this amazing product from Jumia Kenya and have it delivered to your doorstep at an amazing price,4.3 out of 5,181,Rp57.920.000,1 April 2018
"Mooka 55""   UHD SMART TV    Haier Product   Black",Mooka,10,Rp560.000,Rp39.899,29%,Enjoy smartSmart TV has a completely open platform equipped with an operating system with 1GB RAM + 4GB ROM capacity allowing users to install and uninstall various types of applications while enjoying normal TV content.,4.2 out of 5,290,Rp162.400.000,20 Mei 2019
Amtec AM 002 2.1CH Bluetooth Speaker System   Black,Amtec,47,Rp34.990,Rp2.815,20%,Listen to your music collection in style with this AMTEC AM 002 2.1 SURROUND SOUND SPEAKER SYSTEM. Multimedia Speaker System. This sound system is designed for the extreme entertainment lovers to enjoy their amazing music and movies with sound clarity never heard before you will love your movie soundtrack playing on this Multimedia Speaker System. Place your order for this,4.3 out of 5,80,Rp2.799.200,11 Januari 2019
"Polar 22""   Digital LED TV   Black..",Polar,73,,Rp6.499,,,4 out of 5,40,Rp0,10 Juni 2018
