nama_barang,merk,stok_barang,harga_lama,harga_baru,discount_percent,description,rating_penjualan,total_terjual,total_pemasukan,tanggal_pembelian
UKA 32'' HD Digital TV   Black,UKA,43,Rp160.000,Rp11.299,29%," HD Digital TV Using an advanced picture quality improvement algorithm Wide Color Enhancer Plus drastically improves the quality of any image and uncovers hidden details. Now see colors as they were meant to be seen with Wide Colour Enhancer Plus. Revolutionize your entertainment with the new 32"" HD Flat TV that offers splendid performance. With the Wide Color Enhancer sports mode and USB connectivity you need nothing more. You can now order for this TV on Jumia and have it delivered to you anywhere in Kenya at an incredible price..",4.2 out of 5,2.246,Rp25.377.554,2019-3-15
"Vision Plus VP8832S 32""   HD Android Smart TV + Free Wall Mount   Black",Vision Plus,37,,Rp14.999,,,4.3 out of 5,1.005,Rp15.073.995,2018-12-27
"UKA 32""   HD Smart TV   Black",UKA,46,Rp200.000,Rp13.999,30%,"​UKA 32"" HD Smart TV features sharply and vividly conveys the colour of the image making it true to life as you view it. It carries a powerful multi surround sound effect the increases the excitement and takes your normal sports watching a pleasurable experience. TV comes with Smart features like a dedicated web browser and popular apps like YouTube and a range of movie on demands services. Playback your stored content directly on the big screen for all to enjoy via a USB device or use it to record TV programmes and even pause live TV. Place your order for this amazing product from Jumia Kenya and have it delivered to your doorstep at an amazing price",4 out of 5,803,Rp11.241.197,2019-5-19
"Hifinit By Haier 24"" LED HD DIGITAL TV   Black",Hifinit By Haier,68,Rp139.990,Rp7.399,47%,​,4.2 out of 5,692,Rp96.873.080,2019-10-6
"Vision Plus VP8843C   43""   FHD Android TV Black + FREE Wall Mount",Vision Plus,28,Rp349.490,Rp29.999,14%,,4.2 out of 5,518,Rp181.035.820,2019-9-26
"Vision Plus VP8843S 43"" FHD SMART Android LED TV   Black",Vision Plus,59,,Rp25.499,,,4.4 out of 5,472,Rp0,2019-6-2
"Vision Plus VP8843S 43"" FHD SMART Android LED TV   Black",Vision Plus,34,,Rp25.499,,,4.4 out of 5,472,Rp0,2019-9-30
Syinix 32″ Digital LED TV Black,Syinix,89,Rp200.000,Rp12.999,0.35,,4 out of 5,295,Rp59.000.000,2019-6-19
Syinix 32″ Digital LED TV Black,Syinix,55,Rp200.000,Rp12.999,0.35,,4 out of 5,295,Rp59.000.000,2019-8-26
Mooka 43'' FHD Digital LED TV    Black,Mooka,86,Rp320.000,Rp22.499,0.3,​,4.1 out of 5,292,Rp93.440.000,2019-6-9
Mooka 43'' FHD Digital LED TV    Black,Mooka,69,Rp320.000,Rp22.499,0.3,​,4.1 out of 5,292,Rp93.440.000,2018-10-26
"Mooka 55""   UHD SMART TV    Haier Product   Black",Mooka,10,Rp560.000,Rp39.899,29%,Enjoy smartSmart TV has a completely open platform equipped with an operating system with 1GB RAM + 4GB ROM capacity allowing users to install and uninstall various types of applications while enjoying normal TV content.,4.2 out of 5,290,Rp162.400.000,2019-9-24
